id,strategy,game,category,question,ai_answer,expected,relevance,accuracy,completeness,clarity,total_score,feedback
VAL_agent_1,zero_shot,Valorant,Strategy,Best agent for beginners?,,"Sage or Brimstone are forgiving; play support, learn smokes/walls, and focus on trading and positioning rather than flashy duels.",0,0,0,0,0,Failed to parse judge output.
VAL_agent_1,one_shot,Valorant,Strategy,Best agent for beginners?,,"Sage or Brimstone are forgiving; play support, learn smokes/walls, and focus on trading and positioning rather than flashy duels.",0,0,0,0,0,Failed to parse judge output.
VAL_agent_1,multi_shot,Valorant,Strategy,Best agent for beginners?,,"Sage or Brimstone are forgiving; play support, learn smokes/walls, and focus on trading and positioning rather than flashy duels.",0,0,0,0,0,Failed to parse judge output.
VAL_agent_1,dynamic,Valorant,Strategy,Best agent for beginners?,,"Sage or Brimstone are forgiving; play support, learn smokes/walls, and focus on trading and positioning rather than flashy duels.",0,0,0,0,0,Failed to parse judge output.
VAL_agent_1,chain_of_thought,Valorant,Strategy,Best agent for beginners?,,"Sage or Brimstone are forgiving; play support, learn smokes/walls, and focus on trading and positioning rather than flashy duels.",0,0,0,0,0,Failed to parse judge output.
W3_quest_1,zero_shot,The Witcher 3,Quest,Any tips for 'Family Matters'?,,Follow leads patiently; talk to Pellar and the Bloody Baron; prep for swamp fights; use Axii in dialogs; choices affect outcomes.,0,0,0,0,0,Failed to parse judge output.
W3_quest_1,one_shot,The Witcher 3,Quest,Any tips for 'Family Matters'?,,Follow leads patiently; talk to Pellar and the Bloody Baron; prep for swamp fights; use Axii in dialogs; choices affect outcomes.,0,0,0,0,0,Failed to parse judge output.
W3_quest_1,multi_shot,The Witcher 3,Quest,Any tips for 'Family Matters'?,,Follow leads patiently; talk to Pellar and the Bloody Baron; prep for swamp fights; use Axii in dialogs; choices affect outcomes.,0,0,0,0,0,Failed to parse judge output.
W3_quest_1,dynamic,The Witcher 3,Quest,Any tips for 'Family Matters'?,,Follow leads patiently; talk to Pellar and the Bloody Baron; prep for swamp fights; use Axii in dialogs; choices affect outcomes.,0,0,0,0,0,Failed to parse judge output.
W3_quest_1,chain_of_thought,The Witcher 3,Quest,Any tips for 'Family Matters'?,,Follow leads patiently; talk to Pellar and the Bloody Baron; prep for swamp fights; use Axii in dialogs; choices affect outcomes.,0,0,0,0,0,Failed to parse judge output.
VALHEIM_crafting_1,zero_shot,Valheim,Crafting,Fast path to Bronze gear?,,Beat Eikthyr → pickaxe → mine copper and tin → smelt bronze → craft bronze axe/armor; build carts near deposits.,0,0,0,0,0,Failed to parse judge output.
VALHEIM_crafting_1,one_shot,Valheim,Crafting,Fast path to Bronze gear?,,Beat Eikthyr → pickaxe → mine copper and tin → smelt bronze → craft bronze axe/armor; build carts near deposits.,0,0,0,0,0,Failed to parse judge output.
VALHEIM_crafting_1,multi_shot,Valheim,Crafting,Fast path to Bronze gear?,,Beat Eikthyr → pickaxe → mine copper and tin → smelt bronze → craft bronze axe/armor; build carts near deposits.,0,0,0,0,0,Failed to parse judge output.
VALHEIM_crafting_1,dynamic,Valheim,Crafting,Fast path to Bronze gear?,,Beat Eikthyr → pickaxe → mine copper and tin → smelt bronze → craft bronze axe/armor; build carts near deposits.,0,0,0,0,0,Failed to parse judge output.
VALHEIM_crafting_1,chain_of_thought,Valheim,Crafting,Fast path to Bronze gear?,,Beat Eikthyr → pickaxe → mine copper and tin → smelt bronze → craft bronze axe/armor; build carts near deposits.,0,0,0,0,0,Failed to parse judge output.
GEN_route_1,zero_shot,Genshin Impact,Route,Efficient daily resin use for AR30-40?,,Prioritize character ascension mats and weapon domains; do 4 commissions; spend resin on needed domains and weekly bosses; avoid over-leveling artifacts.,0,0,0,0,0,Failed to parse judge output.
GEN_route_1,one_shot,Genshin Impact,Route,Efficient daily resin use for AR30-40?,,Prioritize character ascension mats and weapon domains; do 4 commissions; spend resin on needed domains and weekly bosses; avoid over-leveling artifacts.,0,0,0,0,0,Failed to parse judge output.
GEN_route_1,multi_shot,Genshin Impact,Route,Efficient daily resin use for AR30-40?,,Prioritize character ascension mats and weapon domains; do 4 commissions; spend resin on needed domains and weekly bosses; avoid over-leveling artifacts.,0,0,0,0,0,Failed to parse judge output.
GEN_route_1,dynamic,Genshin Impact,Route,Efficient daily resin use for AR30-40?,,Prioritize character ascension mats and weapon domains; do 4 commissions; spend resin on needed domains and weekly bosses; avoid over-leveling artifacts.,0,0,0,0,0,Failed to parse judge output.
GEN_route_1,chain_of_thought,Genshin Impact,Route,Efficient daily resin use for AR30-40?,,Prioritize character ascension mats and weapon domains; do 4 commissions; spend resin on needed domains and weekly bosses; avoid over-leveling artifacts.,0,0,0,0,0,Failed to parse judge output.
